image_index,object_count,total_area
1002,32,7847
1003,2,14461
1004,93,21524
1005,99,23845
1006,101,20063
1007,94,23500
1008,90,21098
1009,19,4067
1010,73,17091
1011,26,4335
1012,74,20065
1013,21,5597
1014,79,19246
1015,20,4784
1016,59,13117
1017,80,19512
1018,85,20704
1019,93,21048
1020,78,18392
1021,99,23913
1022,81,18220
1023,98,18251
1024,84,22265
1025,77,17882
1026,90,20572
1027,75,16653
1028,90,22976
1029,68,16063
1030,95,26401
1031,103,23429
1032,91,20728
1033,85,19350
1034,88,17766
1035,90,19686
1036,94,22990
1037,23,5051
1038,114,25230
1039,27,5689
1040,88,23212
1041,27,6395
1042,91,23579
1043,25,5204
1044,87,18972
1045,82,16907
1046,55,10353
1047,56,12439
1048,86,19546
1049,89,19559
1050,91,22456
1051,81,18456
1052,79,19434
1053,22,4484
1054,80,21438
1055,22,4566
1056,98,23060
1057,21,2778
1058,95,18126
1059,31,4640
1060,86,18304
1061,22,3435
1062,60,11247
1063,19,3675
1064,32,3921
1065,36,9145
1066,32,5213
1067,33,6265
1068,96,21996
1069,23,4780
1070,78,18928
1071,23,4570
1072,93,18764
1073,96,17027
1074,89,15179
1075,90,17717
1076,94,17645
1077,107,19920
1078,89,16547
1079,82,15927
1080,83,21969
1081,88,20026
1082,96,22556
1083,91,23360
1084,97,21123
1085,103,24051
1086,103,24223
1087,90,21550
1088,95,22126
1089,89,22334
1090,100,21190
1091,94,23388
1092,104,26670
1093,90,20755
1094,89,20265
1095,84,17972
1096,29,4002
1097,17,2800
1098,28,5454
1099,28,5069
1100,98,23857
1101,33,5767
1102,89,17318
1103,23,5011
1104,91,20223
1105,96,22440
1106,97,23480
1107,87,18078
1108,86,19770
1109,21,3905
1110,92,19976
1111,25,4971
1112,104,23540
1113,101,25129
1114,79,22746
1115,93,25870
1116,89,20540
1117,87,19070
1118,80,19052
1119,97,16863
1120,97,21422
1121,27,5018
1122,85,18972
1123,29,3756
1124,95,23614
1125,84,18603
1126,85,21286
1127,89,19942
1128,1,57
1129,24,5056
1130,2,253
1131,80,19008
1132,92,21774
1133,91,19066
1134,87,22151
1135,87,21403
1136,44,10206
1137,97,23727
1138,78,18591
1139,88,21232
1140,98,23217
1141,28,4507
1142,85,21550
1143,27,4658
1144,92,20339
1145,8,1259
1146,83,21036
1147,16,2560
1148,76,18966
1149,42,9776
1150,90,20203
1151,72,16963
1152,95,24532
1153,79,18663
1154,78,16721
1155,104,20171
1156,79,22432
1157,73,23995
1158,81,26814
1159,93,28920
1160,69,20752
1161,78,23268
1162,81,25089
1163,84,26064
1164,114,25108
1165,98,22638
1166,110,21150
1167,106,24474
1168,89,22200
1169,80,20133
1170,89,20953
1171,98,21643
1172,84,19097
1173,79,20715
1174,88,17886
1175,100,25779
1176,83,21513
1177,79,23161
1178,68,20346
1179,79,20428
1180,97,21110
1181,103,21456
1182,86,19181
