image_index,object_count,total_area
738,167,40577
739,138,38933
740,142,39643
741,137,38990
742,171,42275
743,175,41578
744,186,46108
745,169,45936
746,26,7161
747,86,24073
748,7,1321
749,149,39703
750,89,25275
751,109,31417
752,127,38083
753,121,40505
754,94,31263
755,93,27731
756,32,10450
757,159,42517
758,141,40218
759,148,42775
760,124,40094
761,171,44218
762,154,39867
763,137,38380
764,97,31683
765,133,44450
766,132,43632
767,138,44256
768,125,42112
769,140,43958
770,156,43121
771,162,45593
772,148,43725
773,130,35840
774,132,38698
775,133,37562
776,122,36911
777,123,39257
778,96,28222
779,83,22377
780,76,21261
781,153,43650
782,159,43508
783,105,37869
784,125,42278
785,143,40964
786,166,43001
787,158,41965
788,161,43676
789,145,41348
790,140,43567
791,136,41230
792,157,44412
793,159,42738
794,148,39924
795,136,38546
796,137,38761
797,113,41191
798,122,42339
799,132,40584
800,143,45262
801,380,56467
802,149,23389
803,353,55133
804,145,23892
805,284,49397
806,247,47955
807,246,47672
808,256,45356
809,296,50594
810,302,50397
811,329,52287
812,328,53524
813,368,52416
814,362,52971
815,393,54471
816,350,52163
817,299,51366
818,86,12979
819,323,50312
820,121,18347
821,290,47852
822,275,48152
823,266,44277
824,282,46892
825,350,52967
826,163,24089
827,388,54125
828,157,23358
829,252,46941
830,305,52371
831,299,53991
832,288,50831
833,198,38223
834,97,16350
835,206,40995
836,97,18071
837,221,42239
838,241,48040
839,204,40600
840,226,43102
841,219,46097
842,199,41490
843,188,37041
844,175,29888
845,293,57219
846,270,54677
847,274,56501
848,258,52031
849,168,45894
850,178,43249
851,216,48152
852,198,47360
853,75,15048
854,53,9951
855,51,9254
856,42,9123
857,170,34314
858,110,19686
859,79,12537
860,54,9285
861,263,47261
862,141,26138
863,165,30432
864,98,16567
865,109,26817
866,99,24681
867,112,26116
868,91,22682
869,106,33424
870,107,30450
871,102,30653
872,99,28726
873,98,24170
874,33,6910
875,86,19027
876,27,6167
877,102,25261
878,107,24859
879,104,25540
880,102,25141
881,114,35075
882,100,31425
883,117,33410
884,103,29620
885,115,24641
886,31,6365
887,79,18681
888,28,6870
889,85,22685
890,29,6889
891,88,24063
892,24,5525
893,92,34846
894,95,36557
895,86,32821
896,98,34081
897,113,26123
898,101,25673
899,106,25078
900,96,21449
901,96,22312
902,96,22458
903,102,23205
904,103,26041
905,111,27788
906,99,25172
907,104,26137
908,103,25221
909,101,27565
910,91,25594
911,101,26599
912,99,26024
913,96,25529
914,81,18303
915,124,27954
916,106,26520
917,102,25798
918,88,24413
919,93,24080
920,84,22746
921,108,28555
922,26,6311
923,97,27125
924,22,5579
925,81,21555
926,96,25363
927,102,26557
928,96,25594
929,100,26567
930,102,26171
931,107,27105
932,100,27366
933,93,33005
934,74,26892
935,101,34930
936,74,25830
937,106,28113
938,91,25212
939,94,22703
940,95,23518
941,9,2881
942,9,3377
943,18,7389
944,5,9353
945,66,15739
946,27,6242
947,92,20701
948,25,5044
